num,Company name,Job,Technology or skill
1,Staffconnect,Android Developer,OOP
1,Staffconnect,Android Developer,JAVA
1,Staffconnect,Android Developer,Kotlin
1,Staffconnect,Android Developer,5+
1,Staffconnect,Android Developer,API integration
1,Staffconnect,Android Developer,Payment Gateways
1,Staffconnect,Android Developer,Third party integration
1,Staffconnect,Android Developer,Analyze
1,Staffconnect,Android Developer,design
1,Staffconnect,Android Developer,code
1,Staffconnect,Android Developer,debug
1,Staffconnect,Android Developer,test
1,Staffconnect,Android Developer,documentation
1,Staffconnect,Android Developer,deploy
1,Staffconnect,Android Developer,Retail Industry
1,Staffconnect,Android Developer,collaboration
1,Staffconnect,Android Developer,Detail-oriented
1,Staffconnect,Android Developer,Detail-oriented
1,Staffconnect,Android Developer,Fast learner
1,Staffconnect,Android Developer,Achiever
1,Staffconnect,Android Developer,sets high personal goals
1,Staffconnect,Android Developer,work on multiple projects
1,Staffconnect,Android Developer,meet project deadlines
2,TenTwenty,Android App Developer,code reviews
2,TenTwenty,Android App Developer,Unit testing
2,TenTwenty,Android App Developer,robustness
2,TenTwenty,Android App Developer,usability
2,TenTwenty,Android App Developer,reliability
2,TenTwenty,Android App Developer,planning
2,TenTwenty,Android App Developer,agile
2,TenTwenty,Android App Developer,break down user stories into technical tasks
2,TenTwenty,Android App Developer,accurate estimations for the tasks
2,TenTwenty,Android App Developer,Collaboration
2,TenTwenty,Android App Developer,discover new technologies
2,TenTwenty,Android App Developer,1+
2,TenTwenty,Android App Developer,web services
2,TenTwenty,Android App Developer,REST
2,TenTwenty,Android App Developer,JSON
2,TenTwenty,Android App Developer,Kotlin
2,TenTwenty,Android App Developer,JAVA
2,TenTwenty,Android App Developer,Flutter
2,TenTwenty,Android App Developer,design patterns
2,TenTwenty,Android App Developer,Architecture components
2,TenTwenty,Android App Developer,Room
2,TenTwenty,Android App Developer,Android Lifecycle
2,TenTwenty,Android App Developer,Released android apps to google play store
2,TenTwenty,Android App Developer,MVVM
2,TenTwenty,Android App Developer,MVP
2,TenTwenty,Android App Developer,git
2,TenTwenty,Android App Developer,teamwork
2,TenTwenty,Android App Developer,dependency injection
2,TenTwenty,Android App Developer,Dagger
