,Company name,Job,Technology or skill,Date
1,Jumar Solutions Ltd,Mobile Android Developer,Kotlin,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Jetpack Compose,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,XML,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,MVVM,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Agile,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Scrum ,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Azure ,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Android Studio,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,Git,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,diagnose production issues,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,code fixes,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,configuration fixes,22/08/2024
1,Jumar Solutions Ltd,Mobile Android Developer,integrating Android mobile applications with APIs,22/08/2024
2,CareerAddict,Android Developer (Financial Services),JUnit ,22/08/2024
2,CareerAddict,Android Developer (Financial Services),Jetpack Compose,22/08/2024
2,CareerAddict,Android Developer (Financial Services),Kotlin ,22/08/2024
2,CareerAddict,Android Developer (Financial Services),Coroutines ,22/08/2024
2,CareerAddict,Android Developer (Financial Services),MVI ,22/08/2024
2,CareerAddict,Android Developer (Financial Services),REST API,22/08/2024
2,CareerAddict,Android Developer (Financial Services),Financial services,22/08/2024
3,Adria Solutions,Android Mobile Developer,Collaborating with others,22/08/2024
3,Adria Solutions,Android Mobile Developer,reliablility,22/08/2024
3,Adria Solutions,Android Mobile Developer,security,22/08/2024
3,Adria Solutions,Android Mobile Developer,accurate timeframes and delivery estimates,22/08/2024
3,Adria Solutions,Android Mobile Developer,coding best practices,22/08/2024
3,Adria Solutions,Android Mobile Developer,Java,22/08/2024
3,Adria Solutions,Android Mobile Developer,Kotlin,22/08/2024
3,Adria Solutions,Android Mobile Developer,Android SDK,22/08/2024
3,Adria Solutions,Android Mobile Developer,Jetpack,22/08/2024
3,Adria Solutions,Android Mobile Developer,web technologies,22/08/2024
3,Adria Solutions,Android Mobile Developer,UI/UX standards,22/08/2024
3,Adria Solutions,Android Mobile Developer,design principles,22/08/2024
3,Adria Solutions,Android Mobile Developer,interface guidelines,22/08/2024
3,Adria Solutions,Android Mobile Developer,performance ,22/08/2024
3,Adria Solutions,Android Mobile Developer,memory optimisation,22/08/2024
3,Adria Solutions,Android Mobile Developer,Android Studio Profiler,22/08/2024
3,Adria Solutions,Android Mobile Developer,Git,22/08/2024
3,Adria Solutions,Android Mobile Developer,iOS,22/08/2024
3,Adria Solutions,Android Mobile Developer,Agile,22/08/2024
4,unrd ,Android developer,Java,24/08/2024
4,unrd ,Android developer,Kotlin,24/08/2024
4,unrd ,Android developer,2+,24/08/2024
4,unrd ,Android developer,material design,24/08/2024
4,unrd ,Android developer,design best practices,24/08/2024
4,unrd ,Android developer,coding guidelines,24/08/2024
4,unrd ,Android developer,design patterns,24/08/2024
4,unrd ,Android developer,software architecture,24/08/2024
4,unrd ,Android developer,clean code,24/08/2024
4,unrd ,Android developer,consuming APIs,24/08/2024
4,unrd ,Android developer,HTTP,24/08/2024
4,unrd ,Android developer,ASP.NET,24/08/2024
4,unrd ,Android developer,ASP.NET,24/08/2024
4,unrd ,Android developer,node.js,24/08/2024
4,unrd ,Android developer,unit testing,24/08/2024
4,unrd ,Android developer,integration testing,24/08/2024
4,unrd ,Android developer,CI,24/08/2024
4,unrd ,Android developer,gaming ,24/08/2024
4,unrd ,Android developer,movies ,24/08/2024
4,unrd ,Android developer,MVVM,24/08/2024
4,unrd ,Android developer,coroutines,24/08/2024
4,unrd ,Android developer,creative ,24/08/2024
5,Portman Scott,Android developer,Kotlin,22/08/2024
5,Portman Scott,Android developer,Dagger,22/08/2024
5,Portman Scott,Android developer,Collaboration,22/08/2024
5,Portman Scott,Android developer,Debugging,22/08/2024
5,Portman Scott,Android developer,performance,22/08/2024
5,Portman Scott,Android developer,Android best practices,22/08/2024
5,Portman Scott,Android developer,2+,22/08/2024
5,Portman Scott,Android developer,Dependency injection,22/08/2024
5,Portman Scott,Android developer,Problem-Solving,22/08/2024
5,Portman Scott,Android developer,UX,22/08/2024
6,CrowdScores,Android developer,UX,22/08/2024
6,CrowdScores,Android developer,architecture ,22/08/2024
6,CrowdScores,Android developer,software testing,22/08/2024
6,CrowdScores,Android developer,teamwork,22/08/2024
6,CrowdScores,Android developer,Communication,22/08/2024
6,CrowdScores,Android developer,Agile,22/08/2024
6,CrowdScores,Android developer,Scrum,22/08/2024
6,CrowdScores,Android developer,Dagger,22/08/2024
6,CrowdScores,Android developer,RxJava,22/08/2024
6,CrowdScores,Android developer,Material Design,22/08/2024
6,CrowdScores,Android developer,Espresso ,22/08/2024
6,CrowdScores,Android developer,Java,22/08/2024
6,CrowdScores,Android developer,Android framework,22/08/2024
7,Vertech Group,Android developer,Kotlin,18/08/2024
7,Vertech Group,Android developer,UI/UX design,18/08/2024
7,Vertech Group,Android developer,code best practices,18/08/2024
7,Vertech Group,Android developer,Git,18/08/2024
7,Vertech Group,Android developer,design patterns,18/08/2024
8,Dyson,Lead Android Developer,teamwork,24/08/2024
8,Dyson,Lead Android Developer,CI,24/08/2024
8,Dyson,Lead Android Developer,6+,24/08/2024
8,Dyson,Lead Android Developer,collaboration,24/08/2024
8,Dyson,Lead Android Developer,published Android applications,24/08/2024
8,Dyson,Lead Android Developer,passionate about learning new things,24/08/2024
